din­ing	!din­ing/JJ NN
take-n-play	CD NN IN NN NNS DT NN !take-n-play/NN NN NN NN
floating	CD NN IN JJ NN !float/VVG NN
limited	DT JJ NN !limited/JJ NN NN
kraus	VV CD NN IN !kraus/NNS JJ NN VV RP NN NN
walt	!Walt/NP NP NP NP
$83.08	JJ NN NN JJ IN !$83.08/NN
5001	CD NN IN NN NN !@card@/VVN PP$ NN JJ NN
doll	VV CD NN IN NP JJ NN NN !doll/NN
town	CD NN IN NP NP !town/NN NN NN NN NN
200g	VV CD NN IN NN NN CD NN !200g/JJ
machine	VV CD NN IN NN NN !machine/NN
insta	VV NN IN !insta/NN NN NNS
chipo­tle	JJ JJ !chipo­tle/NN JJ NN NN
paisley	VV NN NN VVZ CD NN !paisley/NN VV VVN IN NN
mopping	CD NN IN NN NN NN !mop/VVG NN
stealth	VV CD NN IN JJ !stealth/NN NN
complete	DT !complete/JJ NN
kashi	JJ IN !kashi/NN NN NNS
fluid	VV CD NN IN !fluid/JJ CD NN NN VVD NN
ubisoft	NN JJ !ubisoft/NN NN NN
clorox2	!clorox2/NN
half	VV CD !half/NN RP IN NN NN
z	CD NN IN NN NN !z/SYM NN NN
slides	CD NN IN JJ NN NN NNS CC !slide/NNS
warehouses	NP JJ !warehouse/NNS JJ NN NNS
oden	JJ !oden/JJ NN NN JJ
trunk	VV CD NN IN JJ !trunk/NN NN VVN NN
tablets	CD !tablet/NNS
myers	VV CD NN IN NN IN NN !myers/NNS IN NN IN VV
tall	VV CD NN IN NN NNS !tall/JJ NN NN NN
kanken	VV NN !kanken/JJ JJ NN IN NN
wheel	VV CD NN IN NNS JJ !wheel/NN NN
$79.33	NN NN NP CD JJ JJ NN IN !$79.33/NN
gourmet	IN !gourmet/NN NN NN NN NN
card	VV NN VV JJ NN !card/NN VVP CD NN NNS SYM NNS NNS
sd	NN !sd/NN
imported	VV NN IN NNS !import/VVN JJ JJ NNS
multiquick	CD NN IN JJ !multiquick/NP CD NN NN
goofys	!goofys/NN NN
broth	NN !broth/NN CD IN NP SYM JJR NNS SYM NNS NNS
gram	RB CD !gram/NN JJ NN JJ NN NN
fairytale	VV CD NN IN NP NP NN NN NNS !fairytale/NN NN NN NN
paypal	!paypal/NN
pu	VV NN !pu/NN NN JJ NN NN NN NN NN NN JJ NN NN NN IN RB JJ IN JJ NN
119.99	IN NN !@card@/CD
ryders	VV CD NN IN NN NN !ryders/NNS VVP IN NP
specials	VVZ NN NNS !special/NNS
micro-dot	VV NP DT NN !micro-dot/NN JJ NNS IN NN
rain	CD NN IN !rain/NN
$5-$10	VV NN CC VV !$5-$10/NN IN PP$ NN
geostorm	CD NN IN !geostorm/NN
quad-core	NN CD !quad-core/NNS
songmics	!songmics/NN JJ NN CC NN NN IN NN
select-a-size	VV CD NN IN PP$ NN IN NN !select-a-size/NN RB CD NN NN NNS
3ds	NN !3ds/NNS
tilt	VV CD NN IN JJ !tilt/NN NN NN NN
$95	DT !$95/JJ NN
2	NN !2/CD
bathroom	VV CD NN IN !bathroom/NN NN
$15.15	JJ NN IN !$15.15/NN
rey	DT NN VVZ !rey/JJR
undeniable	VV CD NN IN IN NN NN !undeniable/JJ NN NN
$499.99	!$499.99/NN IN NN NN VV JJ NN NN NN
41	!@card@/CD NN IN NN
bread	VV CD NN CD VVG NN CC JJ !bread/NN IN NN
duracell	!duracell/NNS
andriod	VV CD NN IN NN NN NN !andriod/NN CD NN NN NN
dyna­mite	!dyna­mite/JJ NN NN NN CD NN VVZ JJ
koil	VV CD NN IN NN !koil/NN NN NN NN VVD JJ JJ NN NN VVP FW
podium	VV CD NN IN NN !podium/NN JJ NN VVN NN NN CD NN
routine	VV CD IN CD NN NN VVG !routine/JJ
bronx	!bronx/NN NN NN NN NN
snapfish	!snapfish/NNS
$4.35	NNS IN JJ IN !$4.35/NN
600-watt	CD NN IN DT NP !600-watt/JJ NN
frutti	VV CD NN IN JJ JJ !frutti/NN NNS
paricon	CD NN IN !paricon/NN JJ NN NN NN
bailey	VV CD NN IN JJ JJ !bailey/NN NN NN NN NN
jobsite	VV CD NN IN NN JJ NN NN !jobsite/NN NN
aws-100	VV CD NN IN NN VVP NN NN JJ !aws-100/JJ JJ NN NN
duckman	CD NN !duckman/NN
format	VV NN IN DT !format/NN IN NN NN
$8.75	VV JJ NN CD NN NN NN IN RB !$8.75/JJ
flatware	JJ JJ JJ NN !flatware/NN VVN IN NN
1byone	VV CD NN IN !1byone/JJ NNS
tommee	VV CD NN IN !tommee/NNS NN JJR TO NN JJ NN NN
aicok	VV CD NN IN !aicok/NN NN CC NN NN SYM JJ NN NN IN DT JJ CD NN RP
herbal	VV NN IN JJ NN NN !herbal/JJ NN
christie	NN !Christie/NN NN NNS VVG IN NN
loom	VV CD NN IN JJ NN IN DT !loom/VVP NNS
sidekick	VV CD NN IN NN !sidekick/NN NN
slip	!slip/NN NNS
listerine	VV CD NN IN !listerine/JJ NN NN JJ NN NN NNS
workshops	DT NN NN NN JJ !workshop/NNS
750	VV CD NN IN NN NN NN !@card@/CD NN IN NN NN
muffin	CD NN IN RB VV NN CC !muffin/NN NN
screenings	NN NN NN NN CD NN !screenings/NN
rush	JJ NN NN NN !rush/NN NNS
rip	VV CD NN IN JJ NN IN JJ !rip/NN NN NN
saver	CD NN IN JJ NN NN JJ NN !saver/NN
hatchimals	!hatchimals/NNS VV NN
hdb180-02	VV NN !hdb180-02/NN NP CD JJ JJ NN NN NN
pound	NN IN NN JJ NN !pound/NN NN
sewing/	CD NN IN NN JJ !sewing//NN NN NN
iii	IN NN NP NN !iii/NN NNS IN NN
onion	!onion/NN NNS
texsport	CD NN IN !texsport/NN NN NN NN NN
2-nov8	VV CD NN CC CD NN IN JJ JJ NN NN NN NN !2-nov8/JJ
$399.95	RB IN !$399.95/NN RB SYM JJ NN
todaydeals	NN NN !todaydeals/NNS
sealers	CD NN IN NN NN NN NN !sealer/NNS
omne	VV CD NN IN NNS NNS !omne/JJ NP NN NN NN
skinny	VV NP DT NN NN !skinny/JJ NNS IN NN
$8.93	IN !$8.93/NN
vermont	!Vermont/NP
5x	VV CD NN IN NP VVD JJ NN NN IN !5x/NN NN
missile	JJ NN NNS JJ !missile/NN NN
19	NN !@card@/CD
uv	VV CD NN IN JJ NN NN NN JJ JJ NN IN !uv/NN NN
winco	CD NN IN !Winco/NP JJ NN NN
winsome	VV CD NN IN !winsome/JJ NN NN JJ NN NN NN
960p	JJ NN NN NN !960p/NN NN NN NN NN NN
republic	NN !republic/NN NN NNS
tease	NN NN NN NN !tease/VV NNS
big	NNS NN NN JJ !big/JJ NN NN
news	NN !news/NN NN IN NN NN
3.40ghz	NN NN !3.40ghz/JJ NN IN JJ
canada-wide	VV CD NN JJ NN SYM JJ NN !canada-wide/JJ
laptops	CD NN IN JJ !laptop/NNS
offer	NN NN !offer/NN
$833	VV !$833/NN
koodo	!koodo/NN JJ
unwind	NN NN NN TO !unwind/VV NN
45-piece	!45-piece/JJ
dimensions	CD NN IN NN !dimension/NNS JJ NN NN NN
mcpick	NP NP !mcpick/NN NN IN NN
92	!@card@/CD NN IN JJ VV NNS JJR CC JJR
bay	NNS !bayberry/NN NN NNS
spec	!spec/NN NNS DT NN IN NN
pizzas	VV CD NN IN DT !pizza/NNS IN NN NN
6-in-1	CD NN IN JJ NN !6-in-1/JJ JJ NN NN
3-goods	CD NN IN !3-goods/JJ NNS
general	VV NNS NN !general/JJ NN NN IN NN
fonda	NP NNS CC NN !fonda/NNS
globo	!globo/NN NNS NN VVZ
knit	CD NN IN NNS NNS JJ !knit/NN NNS SYM CD NN IN JJ NNS NN
lids	!lid/NNS NN VVZ
mix	!mix/NN
patterns	NN !pattern/NNS IN NN DT
neostrata	!neostrata/NNS
wooferbug	VV CD NN IN NNS NNS !wooferbug/NN VVZ JJ NN
school	NN NNS RB TO !school/NN NNS
goobang	VV CD NN IN !goobang/NN NN NN NN CD NN NN NN
4-disc	NNS DT NNS !4-disc/JJ NN IN NN
each&	VV NN NN VV NNS IN JJ !each&/NN RBR
kart	VV CD NN IN JJ JJ NN CD IN NN !kart/NN CD IN JJ NN
coffees	VV CD NN IN PP$ JJ NN !coffee/NNS
leappad3	CD NN IN VV !leappad3/JJ NNS VVG NN
mlb	VV DT JJ CD NN IN JJ !mlb/NN NN
obsession	!obsession/NN NNS
gevalia	NN CC !gevalia/NN NN NN NNS
shopkins	CD NN IN NN NN NN !shopkins/NNS
birdscapes	VV CD NN IN NN CD !birdscapes/NNS NN NN NN
tru	!tru/NN JJ
rugs	CD NN IN JJ NN !rug/NNS
runbox	VV NN !runbox/NN NNS IN NN
homeloaf	NN !homeloaf/NN IN NN RB
limit	DT !limit/NN
188pc	VV CD NN IN !188pc/JJ NNS NN
virus	NN DT !virus/NN VVD IN NN NNS VVN IN NNS
organicsand	NN !organicsand/NN JJR NNS
chip	CD NN IN JJ NN IN JJ CC !chip/NN
$38.99	VV NN NN JJ NN NN JJ NN NN IN !$38.99/NN
rhythm	VV DT CD NN !rhythm/NN
wc110190	VV CD NN IN NN NN !wc110190/NN JJ JJ NN NN NN
send-off	NN NN JJ !send-off/NN NN
$315	VV !$315/NN IN NP NP NP NN NNS
tatum	VV CD NN IN NN !tatum/NN JJ JJ NN
blushing	!blush/VVG NN
human	!human/JJ NN
18-inch	CD NN IN NN NN JJ !18-inch/JJ JJ JJ NN NN
siesta	VV CD NN IN DT !siesta/NN NN NN NN JJ NN
sapadilla	CD NN IN !sapadilla/NN
bleu	CD NN IN DT NN !bleu/NN NN VVG NN
infant-to-toddler	CD NN IN JJ !infant-to-toddler/NN NN
i3-3110	NN NN CD JJ NN NN NN !i3-3110/NN NN IN NN
20v	NN NN JJ !20v/JJ NN NN JJ NN NN
$719	VVN NN NN IN !$719/NN
boot	CD NN IN NN NN NN !boot/NN
55%-63	VV !@card@/CD NN RP
wool-blend	VV CD NN IN NN NN JJ VV NP !wool-blend/NN NN IN NN
yeti	VV CD NN IN JJ !yeti/NN NN NN
$59	NN IN !$59/NN IN JJ NN
flame&shade	CD NN IN JJ !flame&shade/JJ NN NNS
dickies	!dicky/NNS NNS MD JJ NNS
concordia	VV CD NN IN NN !concordia/NNS
a3	VV CD NN IN NN !a3/NN NN NN
0n	CD NN !0n/NN CD VVZ NN NN
apple-rhubarb	VV NN IN NP !apple-rhubarb/NP CC NP NN NN
inkjet	VV CD NN IN NN NN JJ !inkjet/NN NN
justified	CD NN IN !justified/JJ
habs	!habs/NNS
recalling	VBZ !recall/VVG NN NN VVN NNS JJ TO NN DT
refills	NNS NN !refill/NNS
teen	JJ NN NN IN NN NNS CC !teen/JJ NN
casio	VV CD NN CD NN IN !Casio/NN NNS
blaze	VV CD NN IN JJ NN !blaze/NN
$88.09	NN NN CD NN IN !$88.09/NN
bronzer	VV NN !bronze/JJR
11.6-inch	VV CD NN IN JJ !11.6-inch/JJ NN NN
challenger	VV CD NN IN VVG !challenger/NN NN
m*a*s*h	VV CD NN IN !m*a*s*h/NN
griffith	CD NN IN DT JJ !griffith/NN NN
studio	VV JJ JJ NN !studio/NN JJ NN IN CD NN NNS IN RB JJ
tier	VV JJ NN CD !tier/NN NN NN IN RB JJ
pjs	CD NN RP IN NN CC !pjs/NNS
t20	VV CD NN IN NN NN !t20/NN NN NN NN
grave	CD NN IN JJ NNS NN NN JJ !grave/JJ NN NN
workstation	VV CD NN IN JJ NN NN NN !workstation/NN
bat	VV CD NN IN JJ NN NN JJ NNS VVG !bat/NN NN NN
liftactiv	CD JJ JJ !liftactiv/NN NNS
dexter	VV CD NN IN !dexter/NN
two-day	NN NNS NN NN NNS !two-day/JJ NN SYM NP NN IN JJ CD NN RP
stores	NNS NN !store/NNS
conroe	VV CD NN IN NP JJ !conroe/NN NN JJ NN NN NN
hue	VV CD NN IN JJ !hue/NN JJ NNS
copies	JJ !copy/NNS IN NN NN NN CC NN NN NN
legend	NN NN !legend/NN IN DT JJ NNS NN IN JJ NN IN CD RB
lifestraw	CD NN IN !lifestraw/JJ JJ NN NN
reduction	VV CD NN IN JJ JJ NN !reduction/NN NNS
eko	VV CD NN IN NN !eko/NN NN CC NNS NN
oil-free	VV CD NN IN JJ !oil-free/JJ NN NN NN
quicksilver	!quicksilver/NN
wick	NN !wick/NN
clearlycontacts	!clearlycontacts/NP NP VVZ
$11.25	NN NNS CC NN NN VVG IN !$11.25/NN
debbie	VV CD NN IN !debbie/NN NNS NN NN NN
$90	NNS JJ NNS NN IN !$90/NN DT
2-tool	VV CD NN IN NN NN NN JJ !2-tool/JJ NN NN
boiler	VV CD NN IN NN NN NN NN !boiler/NN CC JJR JJ
cooked	NN NN VVG NN NNS JJ NN VVD JJ JJ !cook/VVN NN
quattro	VV NN !quattro/NN NN NN NN IN NN IN RB JJ IN JJ NN
$449.99	VV NN JJ NN VVN IN RB !$449.99/JJ
brick	VV CD NN IN NN JJ JJ JJ !brick/NN NN
winners	!winner/NNS
box	JJ !box/NN IN CD NNS DT NN VVG NN NN NN
solar	VV CD NN IN !solar/JJ NN NNS
$2.29	VV DT NN JJ VVN NNS IN !$2.29/NN
14-piece	!14-piece/NP
pc	VV CD !pc/NN JJ NN NNS
envy	VV CD NN IN NN !envy/NN NN JJ NN NN
circular	NN NN NP CD JJ !circular/JJ NN IN NN
6-piece	JJ !6-piece/JJ NN
bells	VV CD NN IN NN CC DT NN JJ NN NN !bell/NNS NN NN NN
$10us	!$10us/NN IN NN
$6.69	JJ NN CC NN NN IN !$6.69/NP SYM JJR NNS NNS
battery	CD NN IN DT NN NN NN NN !battery/NN NN
airport	VV CD NN IN JJ JJ NNS VVG NNS !airport/NN NN NN
crust	JJ JJ JJ !crust/NN NNS NN
beautiful	JJ !beautiful/JJ NNS NN
reserve	VV DT JJ NN NN NN WRB PP VVP JJ !reserve/NN
mrs	VV CD NN IN !mrs/NNS
5o	VV !5o/NN NN IN NNS NN NN NN JJ NN SYM CD NN JJ NN SYM JJ CD NN IN NP NN
10	!@card@/CD NN IN NNS
coated	VV CD NN IN RB IN JJ NN !coated/JJ NN NN NN
scientific	VV CD NN IN NN !scientific/JJ NN
reduced-calorie	!reduced-calorie/NN NN NNS
sleepware	!sleepware/NN NN
cybertool	CD NN IN JJ JJ NN !cybertool/NN CD JJ NN NN
twister	CD NN IN JJ NNS NN NN !twister/NN NN
1.42l	VV NN IN DT NN NN !1.42l/JJ CC JJ
acm	!acm/NN NN NNS IN JJ NN
essex	!essex/NN
princess	DT !princess/NN NN NN IN JJ NN IN CD RB
crystal-womens	CD NN IN NN !crystal-womens/NNS NN
meal	VV !meal/NN NN IN NN
cooke	VV CD NN IN JJ NN NNS NN NN !cooke/NN
pole	NN JJ NN !pole/NN VVG NN
thick-cut	JJ JJ !thick-cut/NN NNS
sweet	JJ !sweet/JJ NN NNS
$1for	!$1for/NN DT JJ JJ NN NN NN
9th	VVN NNS IN DT JJ JJ NNS MD VV JJ NN IN NN NNS NN RB MD !9th/JJ
er	VV CD NN IN !er/NN
v8	VV CD NN IN !v8/JJ JJ NN NN IN NN SYM CD NN IN NN NNS NN
scout	NN NN JJ !scout/NN NN NN NN
menchies	!menchies/NNS JJ NN NN NNS
softmoc	!softmoc/NP NP VVZ
tommy	!tommy/NN NN NN NN
supper	NN NN !supper/NN VVD NN
year	NN NN JJ !year/NN JJ NNS
thousands	!thousand/NNS IN NN NNS IN NN
$21or	JJ NN IN NNS IN !$21or/NN RBR
mushrooms	NNS VVD !mushroom/NNS
kink	NN !kink/NN NN CD NNS NNS
partners	PP$ !partner/NNS
mardis	NN !mardis/NNS NNS NN NN
bearpaw	VV CD NN IN !bearpaw/NN
look-out	CD NN IN NN NN NN !look-out/NN NN
microphone	VV CD NN IN JJ NN NN !microphone/NN
quilted	CD NN IN NN NN NN !quilt/VVD JJ NN NN
storm	VV CD NN IN IN NN !storm/NN VVP NN NN CD
12-volt	CD NN IN NP !12-volt/NP NN JJ JJ NN
mid-length	JJ IN NP NN CC !mid-length/NN IN NN
patroller	VV CD NN IN NN NN NN !patroller/NN
thai	!Thai/NP
yosemite	NN IN !yosemite/NN NN NN NP CD NN NN
freshest	RB TO CD NN IN DT !fresh/JJS NN VVZ
uniforms	VV CD NN TO CD NN IN DT NN SYM CD NN JJ !uniform/NNS SYM JJ NN SYM JJR NNS
$168	VV CD NN IN DT NP NP SYM IN !$168/NN IN NN NN NNS
60%-70	VV CD NN JJ NN SYM !@card@/CD NN IN DT NN SYM JJ NN SYM JJR NNS
189	VV CD NN IN NN NN NN CD NN NN !@card@/CD NNS
knockin	CD NN IN NN NN DT NN !knockin/NN IN NNS NN
16-slices	VV JJ !16-slices/JJ NN IN DT JJ JJ NN NN IN RB JJ
bits	VV CD NN IN !bit/NNS CC NNS NN NN IN NNS
holmes	CD NN IN NP !Holmes/NP
lock	CD NN IN JJ !lock/NN NN NN MD NN IN NN NN NN
choking	NNS NNS VVD JJ TO JJ !choke/VVG NN
12,000	VV !@card@/CD NNS IN NN PP VVP IN DT JJ NN
javelot	CD NN IN NN !javelot/NN NNS VVD NN
watch	!watch/VVP DT NN IN JJ NN
$95.97	IN !$95.97/JJ
maze	NN JJ NN !maze/NN
tree	VV CD NN IN CD !tree/NN NN
medium	CD !medium/NN
evil	CD NN IN NN CC !evil/JJ JJ NN
kingsway	VV CD NN IN !kingsway/NN NN NN IN NNS JJ NN
repair	JJ NN CC VV !repair/NN NN
marciano	!Marciano/NP RB JJ NN NN
firmnesses	VV CD NN IN CD NN NN NN NN JJ IN CD !firmness/NNS
chic	VV CD NN IN NN NNS IN NNS NN !chic/JJ JJ NN NN
$260	VV RP TO !$260/NN IN JJ NN
61	VV !@card@/CD NN IN NN
concrete	VV CD NN IN DT !concrete/JJ NN NN
generac	CD NN IN !generac/NN CD NN JJ NN NN
soundspa	NN IN !soundspa/NN
$5.14	RB IN RB !$5.14/JJ
off&	NNS NN CD VVP NP CD NN !off&/NN JJR NNS
affairs	VV RB TO CD NN IN NNS CC JJ !affair/NNS
crispy	VV JJ !crispy/JJ NNS NN NNS IN NNS
voglio	VV CD NN IN NN !voglio/NN NNS
loungewear	!loungewear/NN IN NNS
nexxt	!nexxt/NN NN NN NN JJ IN JJ IN $ CD
ski	VV CD NN IN NN !ski/NN NNS
americans	CD NN IN DT !American/NNS NN CD
cube	VV CD NN IN NN JJ NNS NN !cube/NN
dandy	!dandy/JJ NP NNS IN JJ NN
secret	NNS !secret/JJ NN
mb	!Mb/NN
lamb	!lamb/NN
hydro	VV NN IN DT JJ !hydro/JJ NN IN NNS CC NNS
toilettree	!toilettree/NN NNS VV NN IN NN
mpow	!mpow/NN NN NN CD NN JJ NN IN NN
futurama	VV CD NN IN !futurama/NN
$54	RB TO !$54/NN DT
454g	VV NN IN NN !454g/JJ
guardians	CD NN IN !guardian/NNS IN DT NN NN
usa	VV CD NN IN NN !usa/NN JJ NN JJ NN NN IN NN NN NN
springtime	NN IN DT NN VV RB TO CD NN IN !springtime/NN NN
telus	!telus/NN NN
12000mah	VV CD NN IN NP !12000mah/NP JJ NN NN
phthalate	VV CD NN IN NN !phthalate/JJ JJ NN NN NN IN NN
over-ear	VV CD NN IN JJ !over-ear/NN NN
directors	VV CD NN IN JJ NP !director/NNS NN
leather	VV CD NN IN NN NN JJ !leather/NN NN NN NN SYM JJ NN NN NNS VVN IN NN
stackers	CD NN IN JJ !stacker/NNS NNS
$13.95	NN VV NN IN DT JJ NN SYM JJ NNS !$13.95/NN DT
400g	!400g/JJ
jackery	VV CD NN IN !jackery/JJ JJ NN NN
covergirl	NN VVZ JJ !covergirl/NN NN NN NN
embroidered	VV CD NN IN JJ NN JJ NN VVD !embroider/VVN NN NN
round	NN !round/NN RB IN NN VVG NN JJ
ravensburgers	RB TO CD NN IN !ravensburgers/NNS NNS
procter	NN NN CC !procter/NN
viscoelastic	VV CD NN RP IN NN NN JJ IN NP CD NN NN JJ !viscoelastic/JJ NN
tampax	NN IN JJ !tampax/NN
$146	NN NN NN NN NN IN !$146/NN
fhd	NP CD JJ VVN !fhd/NN NN IN RB JJ
trending	VV DT JJ CD NN IN !trend/VVG NN
bib	VV CD NN IN NN NN JJ VV NP NN NN IN !bib/NN
60¢	VV NNS IN !60¢/JJ DT
garage	!garage/NN NN NNS
jeanbug	NN NN NN !jeanbug/NN NN
keyed	VV JJ JJ NN IN CD CD IN !keyed/JJ NN IN NP
dig	!dig/VV IN NN NN IN JJ NN
8-9mm	CD NN IN NN JJ !8-9mm/JJ NN NN
anna	VV CD NN IN NP JJ !anna/NN NN NN
really	VV RB TO CD NN IN NNS NN !really/RB VVZ
heidi	!heidi/NNS IN JJ NN
dooney	!dooney/NP
felt	VV CD NN IN NP CD !feel/VVD JJ NN
playstation	!playstation/NN NN
sensations	!sensation/NNS IN NNS JJ JJ JJ NN NN
pieces	CD !piece/NNS IN NN SYM VVZ IN NN
cold	!cold/JJ NN NNS
day	NN NN NNS IN DT !day/NN
jj	CD NN IN JJ NNS !jj/VVG PP$ NN VV JJ JJ NN
collections	VV CD NN IN JJ JJ NN !collection/NNS
silky	VV CD NN IN NP NP JJ CC !silky/JJ JJ JJ NN CC NN NN
130	VV CD NN IN NP !@card@/CD JJ NN
wet-dry	CD NN IN JJR JJ JJ !wet-dry/NN NN
$210	VV JJ !$210/NN IN PP$ NN
open-front	VV NP !open-front/NN NNS IN JJ
april	!April/NN CD
galaxy	CD NN IN NNS IN DT !galaxy/NN NN
$87.99	NN NN NN NN IN !$87.99/NP SYM CD NN IN JJ JJ NNS NN NN JJ NN NN
seats	VV RB TO CD NN IN JJ NN NN !seat/NNS
safety	CD NN IN !safety/NN JJ NN NN NN
cranberry	NNS !cranberry/NN NN JJ IN NN
crockband	VV CD NN IN DT !crockband/NN
briefs	VVD NNS CC !brief/NNS
convertme	CD NN IN NN !convertme/NN NN
karina	VV CD NN RP IN NNS !karina/NN JJ NN NN IN NN
cross	VV CD NN IN NNS VVD CD NN !cross/NN NN NN
4	NN !4/CD
elle	NN !elle/NN NN NNS
klymit	VV CD NN IN !klymit/NN NN CD NN IN VVG NN
microlight	CD NN IN NP NP JJ !microlight/NN
champion	CD NN IN JJ !champion/NN NN IN NNS CC NNS
pace	VV NNS !pace/NN NN IN NN
pan	VV CD NN IN NN NN RB JJ NN !pan/VV NN
warm	VV JJ IN DT !warm/JJ NN NN NN NN CC NNS SYM NN NN
camis	!camis/NNS
180g	!180g/NP
ladyshave	VV CD NN IN JJ !ladyshave/JJ JJ JJ JJ NN
inc	NN !inc/NN
greenpan	CD NN IN !greenpan/JJ NN NNS CC JJR
everybody	CD NN IN !everybody/NN VVZ JJR
river	VV CD NN IN NN !river/NN VVN NP NN NN
hepa	CD NN IN NP JJ !hepa/NN JJ NN NN NNS
centennial	VV CD NN IN !centennial/NN
bros	VV CD NN IN JJS IN NN !bros/NNS
conran	VV NN IN NN !Conran/NN IN NN JJ JJ NN NN
area	VV CD NN IN NN VVN NP JJ !area/NN NN
pins	JJ NN NN IN NN IN CD !pin/NNS
10.1-inch	NN NN !10.1-inch/JJ JJ NN IN NN
pork	VV JJ IN JJ NNS JJ NN CC !pork/NN NN NN
coupon	NNS VVD JJ !coupon/NN
38-inch	VV CD NN IN NN !38-inch/JJ CD NN NN IN NN NN
hurry	!hurry/NN
them	JJ NNS CC WRB TO VV !them/PP IN JJ NN
fitter	CD NN IN NN NN !fit/JJR
7-8	IN NN !@card@/CD
signing	!sign/VVG RP RB IN JJ NN
fuzzy	JJ JJ JJ NN NN NN NN NN SYM CD NN IN NN NN !fuzzy/JJ NN NN
diaper	CD NN IN VV NN !diaper/NN NN
#31	VV CD CD NN IN NN NN !#31/NN
naked	VV CD NN IN !naked/JJ NN JJ NN
anarchy	VV CD NN IN NNS IN !anarchy/NN
fourth	NNS NNS CC VV DT !fourth/JJ CD JJ
2200	CD NN IN NN !@card@/CD NN JJ NN NN
actionpacs	CD NN IN NN NN !actionpacs/NNS NN NN IN NN
hemp	JJ JJ !hemp/NN NN
purifying	CD NN IN NN CD NN NN JJ NN !purify/VVG
safavieh	CD NN IN !safavieh/NP NP NN NN
bird	VV CD NN IN NN NN CD NN !bird/NN NN NNS NN
lovers	NN VVZ NN !lover/NNS NN IN NN
30-40	VV !@card@/CD NN IN DT NNS
flo-master	VV CD NN IN NN !flo-master/NN JJ NN NN
rl	VV CD NN IN !rl/NN NN JJ NN NN
quilt	CD NN IN NN NN JJ NN !quilt/NN VVD
penny	VV PP IN DT !penny/NN
juicer	VV NN IN JJ JJ !juicer/NN RB JJ IN JJ NN
tip	VV CD NN IN NN NN VV VV NNS VV !tip/NN
gaiam	CD NN IN JJ !gaiam/NP NN NNS
pepperidge	VV CD JJ !pepperidge/NN NN NN NNS
alfred	VV CD NN IN !Alfred/NP NN
bounce	!bounce/NN
home/	RB JJ IN JJ !home//JJ NN NNS JJ NN NN
inspiration	NN !inspiration/NN NN
hoverboards	CD NN IN !hoverboards/NNS
others	!other/NNS
fixed	CD NN IN NN CD NN !fixed/JJ NN
holy	CD NN IN !holy/JJ NN JJ NN NN JJ NN NNS
salvation	DT !salvation/NN NN NN NN NN VVZ
ballerina	!ballerina/NN IN JJ NN
$899	IN !$899/NP SYM JJ CD CD IN NP NN
|	VV CD NN !|/SYM NN CD
bedrail	CD NN IN NN NN NN NN TO !bedrail/NN
walls	JJ NNS NN NNS CC !wall/NNS VVP
39	!@card@/CD NN IN NN
entrees	VV NN IN CD NN NN !entree/NNS
s7	NN NN !s7/JJ
attire	VV RB TO CD NN IN JJ NN !attire/NN
phone/	VV CD NN IN JJR JJ !phone//JJ NN NN NN
stieg	VV CD NN !stieg/NN NNS NN NN NN
playskool-doh	CD NN IN NN !playskool-doh/NN NN NNS NN NN NN
150-quart	CD NN IN NN JJ CC JJ NN !150-quart/NP
creator	NN !creator/NN NN NN
8-in-1	JJ !8-in-1/JJ NN SYM NN NN IN NN
7*50	CD NN IN NP !7*50/JJ NN NN VVG NNS
amp	VV CD NN IN JJ CD !amp/NN NN NN NN
pajamas	NN VVG NNS !pyjama/NNS
458	VV CD NN IN JJR NN NN NN NP !@card@/CD NN NN NN CD
shoe	VV RB TO CD NN IN !shoe/NN
thumb	VV CD NN IN NP NP NN CD !thumb/NN NN
fuzz-lined	VV RB TO CD NN IN DT !fuzz-lined/JJ NNS
perry	JJ !perry/NN NNS NP NNS VV CD NN RP
meritline	!meritline/NN
items,50	VV RB TO CD NN IN JJ !items,50/JJ NN IN NP NNS
hoodwinked	!hoodwink/VVN
valued	!value/VVN IN NN
rc	VV CD NN IN NN NNS NN NN !rc/NN NN
6-disc	!6-disc/JJ NN RB IN NP SYM JJ NN
mart	NNS NN !mart/NP NP JJ NNS
sinatra	VVG JJ !sinatra/NNS
january	!january/JJ CD
$99.88	NP NP JJ NN NN IN !$99.88/NN
olive	NNS IN NNS JJ JJ JJ !olive/NN NN
fundamentals	VV CD NN IN NN !fundamental/NNS JJ NN
leesentec	VV !leesentec/JJ JJ NN IN NN NN JJ NN
$29.25	NP NN IN !$29.25/NN
$5/	VV NN NNS IN !$5//JJ JJ NN
sps8852	VV CD NN IN JJ NN CD JJ NN !sps8852/NN JJ NN NN IN NN VV NN
ssds	CD NN IN JJ JJ NN !ssds/NNS
char	CD NN IN !char/NN NN JJ JJ NN NN
jeggings	!jeggings/NNS
cell	VV CD NN IN !cell/NN NN NN NN NN
web	CD NN IN VV NN !web/NN NN JJ NN NN
$20-$75	VV DT JJ NN NN NN NN IN !$20-$75/NN
danino	VV NN IN NN NN NN NN SYM IN NN IN !danino/NN NN JJ
panini	!panini/NN NN NN
18,5000	VV !@card@/CD NNS JJ NN NNS WRB PP VVP NN IN RB NN
thanks	!thank/NNS PP NNS NN NN
30	VV !@card@/CD NN IN NN
