#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
sausalito	VV CD NN IN JJ NN IN NP NP NNS !Sausalito/NP CD
saute	VV CD NN IN DT NN VVD JJ !saute/NN VV
savannah	VV CD NN IN NN NN NN CD NN NN !savanna/NN NN
save	!save/VV CD NN IN NN
save-on-foods	NN DT NN VVD IN NN NNS VVN IN !save-on-foods/NNS
save50	!save50/JJ NN IN NN NN NN NN NN NN
save70	!save70/JJ NN IN NN
saveatacular	NN NN NN !saveatacular/JJ JJ NNS
saveonenergy	JJ NN !saveonenergy/NN NN NN NN
saver	CD NN IN JJ NN NN JJ NN !saver/NN
saving	NN IN NN NN NN NN JJ VVG NN NN !saving/VVG NN
savings	NP NP JJ JJ !saving/NNS NNS NNS IN JJ NN
savu	NN !savu/NN NN NN IN NN
sav­ings	JJ !sav­ings/NNS
saw	CD NN IN NP NP NN NN NN VVG !saw/NN NN
sawyer	CD NN IN !sawyer/NN NNS JJ NN NN NN
say	CD NN IN NN NNS NN !say/VVP PP NN
sba15sa	VV CD NN IN NN !sba15sa/NN JJ NN NNS
sc	NN NN VVN NNS IN !sc/NN NN IN NN NNS NN
scale	VV CD NN IN NN JJ NN !scale/NN SYM JJR NNS NNS
scan	VV CD NN IN JJ JJ !scan/NN NN NN
scanner	NN !scanner/NN IN NN
scanza	NN !scanza/NN JJ NN
scarborough	!Scarborough/NP
scarf	VV CD NN RP IN NN NN !scarf/NN RB IN RB JJ
scarifier	VV CD NN IN NN NN CD JJ !scarifier/NN CC NN NN
scarlet	JJ !scarlet/JJ
scarleton	VV CD NN IN !scarleton/NN NN VVD NN VV NN NN
scarves	!scarves/NN
scary	NN NN NN !scary/JJ JJ NNS
scavenger	VV CD NN IN NN NN !scavenger/NN CD NN NN
scene	VV JJ JJ NN WRB PP VVP PP$ !scene/NN NN
scenes	CD NN IN !scene/NNS IN DT NN
scent	JJ NN !scent/NN
scentportable	!scentportable/JJ NN NNS
scents	DT JJ NN !scent/NNS JJ NNS
sceptre	!sceptre/NN
schaeffer	CD NN IN NN !schaeffer/NNS JJ NN NN
schedule	JJ NN NN NNS JJ !schedule/NN IN NN
schick	!schick/JJ NN NNS
schlage	VV CD NN IN !schlage/NN NN NN NN NN
schneiders	!schneiders/NNS NN NNS
school	NN NNS RB TO !school/NN NNS
schools	!school/NNS IN NN NN NN SYM DT JJ NN NN NN
schwinn	CD NN IN !Schwinn/NP CD JJ NN
science	CD NN IN !science/NN NN NN NNS
scientific	VV CD NN IN NN !scientific/JJ NN
scone	VV DT JJ !scone/NN IN DT NN IN DT JJ NN
scooby-doo	VV CD NN IN !scooby-doo/NN WRB VBP PP
scoop	VV CD !scoop/NN CD NN RP
scooping	CD NN IN JJ NNS VV !scoop/VVG NN
scoops	NP !scoop/VVZ CD NN RP
scooter	VV CD NN IN NN NN NN !scooter/NN
scooters	VV CD NN IN NN JJ !scooter/NNS
scope	VV CD !scope/NN
score	RB CD TO !score/NN JJ NN IN NNS
scorers	CD NN IN NN NN NN CD NN NN NN IN NN NN NNS CC JJ !scorer/NNS
scorpion	VV CD NN IN NN NN !scorpion/NN JJ JJ NP NP NN
scotch	NN SYM CD NN IN !scotch/NN NNS
scotch-brite	!scotch-brite/JJ JJ NNS
scotia	NN CC NN !scotia/NN NNS IN NN CD CD
scotiabank	JJ JJ NN CC JJ NN JJ NN IN !scotiabank/NN NNS
scott	!Scott/NP JJ NNS
scotts	VV NN IN !scotts/JJ NN NN JJ NN
scout	NN NN JJ !scout/NN NN NN NN
scrambler	VV RP DT NN !scrambler/NN IN RB JJ WRB PP VVP DT NN
scrapbook	CD NN IN NN NN !scrapbook/NN NN
scrapbooking	VV CD NN IN JJ NN NN JJ VVG NN IN !scrapbooking/VVG JJ NN
scratch	!scratch/NN NN DT NN VBZ DT NN DT JJ CD
screemers	!screemers/NNS
screen	VV CD NN IN NP CD !screen/NN JJ NN CD JJ NN NN NN
screenhouse	VV CD NN IN NP CD SYM CD JJ !screenhouse/NN
screenings	NN NN NN NN CD NN !screenings/NN
screw	JJ JJ !screw/NN NN IN JJ
screwballs	CD NN IN NN NN !screwball/NNS NNS JJ VVG CC VVG NN
screwdriver	VV CD NN IN JJ JJ !screwdriver/NN NN
screwdriving	VV CD NN IN JJ !screwdriving/JJ NN
scrolls	JJR !scroll/NNS VVP IN NN
scrub	JJ NN !scrub/NN NN JJ IN DT NN
scrubbed	!scrub/VVD RP NNS
scrubbing	VV JJ NN SYM JJ NN !scrub/VVG NNS
scrubs	NN NN NN !scrub/NNS
sd	NN !sd/NN
sdeals	NN NN NN !sdeals/NNS
sdhc	NN NN !sdhc/NN NNS IN NN
sdhc/	JJ JJ JJ !sdhc//NN NN JJ NN NN NN CD IN RB JJ
sdm	VV DT JJ NN !sdm/NN NN SYM DT NN IN DT NN NN WRB PP VVP NN CC JJR IN NN
sds	CD NN IN JJ JJ NN JJ NN !sds/NNS
sdxc	VV CD NN IN NP JJ NN NN CD NN !sdxc/NN RB JJ PP IN NN
se	VV CD NN IN NN NN NN NN NN VVD JJ JJ NN NN VVP !se/FW
sea	CD NN IN NN NN JJ NN NN !sea/NN NN
seafood	JJ JJ NN !seafood/NN NN NN
seagate	!seagate/NN CD NN NN CD JJ JJ NN IN NN
seahawk	CD NN IN NN !seahawk/NN CD
seahorse	CD NN IN NN !seahorse/NN
sealer	CD NN IN JJ NN !sealer/NN JJ NN NN
sealers	CD NN IN NN NN NN NN !sealer/NNS
sealing	CD NN IN NN JJ NN !seal/VVG NN IN JJ NN
seals	NN NN !seal/NNS
sealy	VV CD NN IN !sealy/JJ NN NN
seamless	VV CD NN IN JJ !seamless/JJ NN IN NN CD JJ NN
searchlight	VV CD NN IN NN !searchlight/NN NNS
sears	!sere/VVZ NN NNS
seas	VV CD NN IN JJ JJ NN !sea/NNS NN NN SYM JJ JJ NNS NN NN JJ NN NN SYM JJ NN NN
season	!season/NN CD
seasonal	RB JJ IN JJ NN IN !seasonal/JJ NN NN NNS
seasonals	VVD RP !seasonal/NNS
seasoned	VV CD NN IN JJ !seasoned/JJ NN NN NN
seasonic	VV CD NN IN !seasonic/JJ JJ NN NN
seasonings	JJ !seasoning/NNS NN NNS CD IN NN
seasons	!season/NNS CD
seat	NN NNS NN JJ NN NNS !seat/NN NN SYM IN RB TO JJ CD NN RP
seating	VV CD NN IN DT VVG NN !seating/NN
seats	VV RB TO CD NN IN JJ NN NN !seat/NNS
seattles	VV JJ !seattles/NNS JJS NN NN NN IN NN
second	VV DT NN CC VV DT !second/JJ NN JJ
secord	NN !secord/NN NN
secret	NNS !secret/JJ NN
sectional	VV CD NN IN NN NN JJ NN NN !sectional/JJ NN IN NN
secure	CD NN IN NN NN NN !secure/JJ NN
securifi	VV CD NN IN !securifi/NN NN JJ NN NN NN NN NN NN
security	VV CD NN IN JJ NN !security/NN NNS
see	VV CD NN IN NN !see/VVP NN NN NN NN NN
seed	IN NN NN !seed/NN NN NN
seeds	VV CD NNS IN !seed/NNS CC VV DT JJ IN JJ
seek	VV CD NN IN JJ NNS VV CC !seek/VV NN
seeking	NN NN NN !seek/VVG NN NN
sega	!sega/NN NN NN IN JJ
segate	!segate/VV JJ NN NN CD NN JJ JJ NN IN NN
segway	VV CD NN IN !segway/NN NN
seiko	!Seiko/NP
seinfeld	VV CD NN IN !seinfeld/NP
sel	VV CD NN IN NP NP !Sel/NP
selece	VV CD NN IN !selece/NN NN
select	VV CD NN IN !select/JJ NNS
select-a-size	VV CD NN IN PP$ NN IN NN !select-a-size/NN RB CD NN NN NNS
selectbody	VV CD NN IN !selectbody/NN NNS
selecte	VV CD NN CD NN !selecte/NN NNS IN NNS
selected	VV RB TO CD NN IN !selected/JJ NNS
selection	VV CD NNS IN !selection/NN NN RB JJ
selections	NN NN JJ !selection/NNS NN NNS
selective	!selective/JJ NNS IN VV
selector	VV CD NN IN JJ NNS VVP NN !selector/NN IN JJ NN
selecttech	NN !selecttech/NN CD NNS IN NP SYM JJ NN
self	VV CD NN IN JJ NN NN !self/NN VVG JJ NN NN VVN IN NN
selfie	VV CD NN IN NN NN !selfie/NN NN
selfridge	!selfridge/NN
sellers	CD NN IN JJS !seller/NNS
selling	VV CD NN RP IN JJ JJ !selling/NN NNS
sells	JJS NN RB !sell/VVZ NN
semi	NN NNS NN !semi/NN JJ NN
semi-annual	NN NNS NN !semi-annual/JJ NN
semi-anual	VV PP VV PP JJ IN DT NN NNS SYM !semi-anual/JJ NN
semi-automatic	VV NN IN NP !semi-automatic/JJ NN NN
semi-precious	CD NN IN !semi-precious/JJ
semmi	NN NN !semmi/NN JJ NN NN NN
senators	!senator/NNS CC NNS
send-off	NN NN JJ !send-off/NN NN
senior	!senior/JJ CC NN
seniors	NNS NN NN NN !senior/NNS NN NN NNS
sennheiser	CD NN IN !sennheiser/NN NN NN
senqiao	VV CD NN IN !senqiao/NP NP NN NN NN NN NN NN
sensation	VV DT NN NN !sensation/NN NN IN NN
sensational	CD NN IN JJ JJ VV VV !sensational/JJ NN
sensations	!sensation/NNS IN NNS JJ JJ JJ NN NN
sense	VV CD NN IN NN !sense/NN JJ NN
sensei	CD NN IN NNS !sensei/NN NN NN NN
sensing	VVZ JJ JJ NN !sense/VVG VVN NN NN IN NN
sensitive	VV CD NN IN VVZ NN VVZ !sensitive/JJ
sensodyne	NN NN !sensodyne/NN VVG NN NN IN JJ NP
sensor	VV CD NN RP IN NN NN NN !sensor/NN
sentiment	CD NN IN JJ !sentiment/NN NN
sentrysafe	VV CD NN IN !sentrysafe/NN NN JJ CD JJ NNS
senza	FW !senza/IN NN NNS
senzer	VV CD NN IN !senzer/NN NN NNS
sep	!Sep/NN CD
separates	NN !separates/NN
sepember	IN !sepember/NN CD
sephora	!sephora/NP NP NNS
september	!September/NN CD
serato	CD NN IN NNS NN NN NN IN !serato/NN
sereni-tea	VV CD IN CD !sereni-tea/NN NNS CC CD IN CD NN JJ NN NNS IN DT JJ NN IN NN NN NNS
serenity	VV DT JJ NN IN JJ NN NN !serenity/NN
serger	VV CD NN IN NN VVG RB CD NN !serger/NN IN NN NN NN
series	DT JJ !series/NN
serta	VV CD NN IN !serta/NP NN JJ NN NN NN
serum	VV CD NN IN NP NNS SYM CD NN IN NNS JJ !serum/NN NNS
serve	CD NN IN VV CC !serve/VV NN NN VVD
served	VV CD NN IN VBP PP VBG !serve/VVN
service	VV RP TO DT JJ CD NN IN JJ !service/NN
serviced	VV CD NN IN NN CD JJ NN !service/VVN JJ NN NN
serving	VV !serve/VVG RP NN NN NN
sesame	VV CD NN IN !sesame/NN NN NN NNS NN NN NN JJ
session	VV CD NN IN NN NN !session/NN NN NN
set	VV CD NN IN NN NN !set/NN
set-full/	VV CD NN IN JJ NN NN JJ JJ NN NN JJ NN NN !set-full//NN NN
set-up	!set-up/NN
sets	RB TO CD NN IN JJ NN !set/NNS
seven	VV CD NN IN NN NNS VVD !seven/CD NN NN
seventh	!seventh/JJ NN
severe	VV NN IN DT JJ JJ !severe/JJ NN NN
seville	VV CD NN IN !seville/NN NNS JJ NN NN
sevylor	CD NN IN !sevylor/NP NP NP NN
sew	CD NN IN !sew/VV JJ NN NN
sewing	CD NN IN NN !sewing/NN NN
sewing/	CD NN IN NN JJ !sewing//NN NN NN
sex	VV CD NN IN !sex/NN CC DT NN
sexy	PP$ NN IN !sexy/JJ NNS
sf-b901	VV CD NN IN JJ NN !sf-b901/JJ JJ JJ NN NN
shack	CD NN IN DT !shack/NN NN
shade	CD NN IN NN CD NN NN CD NN !shade/NN NN NN
shades	CD NN IN CD !shade/NNS VVN NN
shadow	!shadow/NN IN NN IN NN CD
shady	CD NN IN !shady/JJ NN NN NN NN
shag	NN IN !shag/NN NNS
shake	JJ IN JJ NN !shake/NN
shaken	NNS NN NN !shake/VVN JJ NN NN
shakes	VVP !shake/VVZ CC NN IN NN DT
shakeslush	VVP VVZ CC !shakeslush/NN IN NN DT
shaky	JJ JJ NN NN JJ NN !shaky/JJ NN NN
sham	VV CD NN IN NN JJ JJ NN NN NN !sham/NN NN
shameless	!shameless/JJ DT JJ JJ NN IN NN
shampoo	!shampoo/NN
shank	VV CD NN IN NN CD NN !shank/NN NN NN NN SYM JJ NN IN JJ NN
shape	CD NN IN DT !shape/NN IN NN
shaped	!shaped/JJ NN NN
share	CD NN IN JJ JJ NNS NN CC !share/NN NN
shark	VV CD NN IN JJ NN !shark/NN NN NN NN
sharkninja	CD NN IN !sharkninja/NN NN NN
sharp	!sharp/JJ CD JJ JJ NN IN NN
sharpener	NNS SYM CD NN IN NP JJ NN !sharpener/NN
sharpie	CD NN IN !sharpie/NN JJ NN NN NN JJ
sharpshooter	VV CD NN IN JJ !sharpshooter/NN NN NN NN NN SYM NN JJ NN IN CD
shaver	CD NN IN JJ JJ JJ JJ !shaver/NN
shavers	VV CD NN IN DT JJ !shaver/NNS
shawson	VV !shawson/NN VVG CD CD NNS NN IN NN
she	!she/PP VVD
shea	JJ NN !shea/NN NN
sheaffer	VV CD NN IN !sheaffer/NN NN
sheath	VV CD NN IN NN JJ NNS NN NN JJ NN NN NN NNS IN !sheath/NN
shed	CD NN IN NP NP NNS CD NN NN PP !shed/VVD
sheds	VV CD NN IN !shed/NNS
sheet	VV CD NN IN NN NN !sheet/NN NNS
sheets	VV CD NN IN NN NN !sheet/NNS
shelf	VV CD NN IN DT NN !shelf/NN NNS SYM NN NNS IN NN DT
shelf/	VV CD NN IN JJ NN NN JJ NN !shelf//NN NN
shell	CD NN IN NN IN DT !shell/JJ NN
shelter	CD NN IN NN NN NN NN !shelter/NN
sherlock	!Sherlock/NN NNS NN IN JJ NN IN CD RB
sherman	NP !Sherman/NP
sherpa	VV CD NN IN NP NN VVD JJ JJ NN !sherpa/NNS VVP NN
shield	VV NN !shield/NN NN JJ NNS NN IN JJ IN NN
shier	NN !shier/NN NN NN
shimmer	VV CD NN IN NN !shimmer/NN NN NN
shin	CD NN IN !shin/NN NN NN
shine	!shine/VV NP NN
ship	VV CD NN IN JJ NN NN NN NN !ship/NN
shipping	JJ !shipping/NN IN DT NNS
shippuden	CD NN IN NN !shippuden/NNS JJ VVD CD NN
ship­ping	VV NN IN JJ NN SYM JJ !ship­ping/NN IN DT NNS
shirt	VV CD NN IN NN NNS JJ NN NN !shirt/NN
shirts	!shirt/NNS
shiseido	NNS NN NN !Shiseido/NN NNS
shock	NP NP VVZ NN NNS JJ TO DT NN IN JJ !shock/NN
shoe	VV RB TO CD NN IN !shoe/NN
shoes	!shoe/NNS
shop	JJ !shop/NN
shop-vac	CD NN IN !shop-vac/NP JJ JJ NN NN
shopbins	VV !shopbins/NNS NNS NN CC VVG NN JJ IN DT NNS IN NNS
shopkins	CD NN IN NN NN NN !shopkins/NNS
shopper	!shopper/NN NN NN NNS
shoppers	!shopper/NNS NN NP NP JJ NNS
shopping	DT !shopping/NN NN NN NNS
shops	NN NN !shop/NNS NN NNS
shoptember	NN NN !shoptember/NN NN
short	NN !short/JJ NN
shorts	!short/NNS
shose	NN !shose/NN NNS VVP NN
shoulder	NN IN NN NN IN NN !shoulder/NN NN
shoulders	!shoulder/NNS
shovel	JJ NN NN NN !shovel/NN IN NN
show	VV CD NN IN IN NN NP JJ NN DT !show/NN NNS
shower	VV CD NN RB !shower/VV NN
showerhead	VV RB TO CD NN IN NN NN NN JJ !showerhead/NN IN VVN NN
showes	NN !showes/NNS NNS IN DT NN
showman	DT JJS !showman/NN NN IN JJ NN IN CD RB
shows	NN !show/NNS
showstopper	DT NN NN NNS !showstopper/NN
showtime	NNS NN NN !showtime/NN NN
shredded	VV NN IN NN NN NN NN !shredded/JJ NN
shredder	VV CD NN IN NNS VVD CD NN NN NN !shredder/NN
shreddies	VV JJ NN !shreddies/NNS NN NN NN
shrek	!shrek/NP NN IN JJ NN IN CD RB
shrimp	JJ JJ !shrimp/NN IN NN
shrub	VV NN IN NN IN DT NN CC !shrub/NN IN NN
shrubs	!shrub/NNS NN NN NNS
shrunks	VV CD NN IN DT !shrunk/VVZ NN JJ NN NN NN SYM NN JJ JJ NN VVG NN
shun	!shun/VV JJ JJ JJ NN NN IN NN
shut-off	VV CD NN IN NNS JJ NN NN NN !shut-off/NN
shutterfly	!shutterfly/NN NN JJ JJ NNS NNS
shuttle	VV CD NN IN NN NN NNS JJ !shuttle/NN NN CD NN NN
shypro	JJ NN !shypro/NN JJ NN CC NN NN
siberia	VV CD NN IN NNS !siberia/NN CD NN NN
sickleflow	VV CD NN IN JJR NN !sickleflow/NN VVD JJ NN
sid	!sid/NN
side	JJ !side/NN NNS NN NNS
sided	VV CD NN IN CD !side/VVN JJ VVP NN NN CC NN NN
sidekick	VV CD NN IN NN !sidekick/NN NN
sidekicks	VV CD NN JJR !sidekick/NNS
sides	VV NP NN IN CD !side/NNS IN JJ NN
sidewalk	CD NN IN JJ NN !sidewalk/NN NN
sidewide	VV JJ NN IN DT NNS !sidewide/NN
siesta	VV CD NN IN DT !siesta/NN NN NN NN JJ NN
sig	!sig/NN NNS
sign	JJ NNS VVD NN !sign/NN NN JJ NN NN IN JJ NN
sign-up	VV CD NN IN PP$ JJ JJ NN WRB PP !sign-up/JJ SYM NN PP$ NN IN JJ
signature	!signature/NN NN NN NN
signing	!sign/VVG RP RB IN JJ NN
signs	!sign/NNS
silence	CD NN IN DT !silence/NN IN DT NNS NN
silencer	VV CD NN IN NNS NN !silencer/NN NN
silent	VV CD NN IN JJR NN NN VVD !silent/JJ NN
silex	VV NN !silex/NN JJ JJ NN IN RB JJ
silhouette	CD NN IN !silhouette/NN NN CD NN NN
silicone	VV CD NN IN NN NN JJ !silicone/NN NN NNS VVN
silk	CD NN IN VVN !silk/NN NNS
silk-epil	VV CD NN IN NN !silk-epil/NN JJ CC JJ NN
silky	VV CD NN IN NP NP JJ CC !silky/JJ JJ JJ NN CC NN NN
sill	CD NN IN NN VVG JJ NN !sill/NN
silpada	CD NN IN !silpada/NN NN NN NN NN CC NN NN
silver	JJ !silver/NN
silver/	VV CD NN IN DT NP NN NN IN !silver//JJ NN IN JJ NN SYM JJ NN
silverlake	VV CD NN RP IN !silverlake/NN NN NN RB IN RB JJ
simmons	!simmons/NNS NN NP NP NN NN VVN IN NP SYM CD NN JJ NN SYM JJ CD NN CD NN IN NP NN
simon	!simon/NN NN
simons	!simons/NNS
simple	VV CD NN IN NN !simple/JJ NNS JJ JJ NN NN
simpletaste	VV CD NN IN !simpletaste/JJ NN NN
simpli	VV CD NN IN !simpli/NN NN JJ NN NN NN NN SYM JJ NN NN NNS VVN IN NN
simpli-stik	VV CD NN IN NN NN !simpli-stik/NN RB IN CD NN NN JJR
simply	VV CD NN IN !simply/RB NN JJ NP NN VV
simpsons	CD NN IN !simpsons/NNS
simulation	VV CD NN IN JJ JJ JJ JJ NN !simulation/NN
sinatra	VVG JJ !sinatra/NNS
sing	JJ NN NN NNS NNS NNS !sing/VVP NN IN JJ NN IN CD RB
singer	CD NN IN !singer/NN NN NN
singin	CD NN IN !singin/NN IN DT NN JJ NN JJ NNS NN
singing	VV CD NN IN JJ NN JJ NN NN !sing/VVG NN NN
single	VV CD NN IN DT !single/JJ NN
single-gear	CD NN IN NN NN NN !single-gear/NN JJ VVG NN
single-wick	!single-wick/NN NNS IN NP SYM NN IN DT JJ NN NN
singles	VV JJ RB IN NN !single/NNS
sink	VVP VVZ VV JJ !sink/NN
sinks	!sink/NNS
sipping	JJ NN NNS SYM JJ !sip/VVG
sir	VV DT JJ JJ NN NN IN DT !sir/NN NN NP NP
sirens	!siren/NNS NN NNS
sirewide	NN !sirewide/NN NN
siriusxm	VV NN IN !siriusxm/NN
sisters	CD NN IN NN CC PP$ !sister/NNS IN DT NN NN NN NN
sisu	CD NN IN !sisu/NN NNS
sit	CD NN IN NN NN !sit/VVP NN NN NN NN
sit-to-stand	VV CD NN IN NN !sit-to-stand/NN JJ NN NN IN JJ NN
site	NN NN NN DT !site/NN NN
site-pro	VV CD NN IN JJR JJ JJ NN NN NN VVD IN !site-pro/NN JJ VVG NN
site-wide	VV CD NN IN !site-wide/JJ
sites	CD NN RP IN NNS !site/NNS IN NN
sitewide	VV CD NN IN !sitewide/NN
six	NN !six/CD
six-piece	VV PP$ !six-piece/NN NN
six-position	CD NN IN !six-position/NN
sixth	DT JJ !sixth/JJ NN
size	VV CD JJ !size/NN NNS IN NN
size-4	VV CD NN IN VVZ NN JJ NNS !size-4/JJ NN NN NN
sized	NN NNS JJ !size/VVD NN
sizes	DT NN !size/NNS IN JJ NN
sizzle	CD NN IN !sizzle/VV CC VV NN NN VVD
sk	!sk/NN
skateboard	VV CD NN IN NN !skateboard/NN
skateboards	NNS CC !skateboard/NNS
skating	NN NNS NN JJ NN !skating/NN NN VBZ RB
skechers	VV CD NN IN !skechers/NNS NNS JJ NP NN NN NN
sketch	NN IN NN !sketch/NN
ski	VV CD NN IN NN !ski/NN NNS
ski/	NN !ski//NN NN VVZ IN NN
skies	NNS JJ !sky/NNS NN IN NN DT
skiff	CD NN IN NN NNS DT NN NN NN !skiff/NN NN
skillet	NN JJ !skillet/NN
skillets	VV CD NN IN NP NN NN NN NN JJ !skillet/NNS
skin	!skin/NN NN NN
skincare	NP !skincare/NP
skinny	VV NP DT NN NN !skinny/JJ NNS IN NN
skins	JJ NNS CD NN !skin/NNS JJ RB
skip	CD NN RB !skip/VV NN VV NNS NN NN
skirt	CD NN IN NN NN IN JJ !skirt/NN
skirts	!skirt/VVZ
skittles	VV PP JJ IN !skittle/NNS
sklz	VV CD NN IN !sklz/NP NN NN JJ JJ NN
skorts	!skorts/NNS
skull	!skull/NN NN NN
skullcandy	VV CD NN IN !skullcandy/NN NN NN NN NN JJ NN
sky	CD NN IN NN !sky/NN NN NN NN NN VVD
skyas	VV CD NN IN NN !skyas/NNS JJ NN NN NN
skye	JJ NN IN DT CD NN NN !skye/NN NN JJ NN NN
skyfall	DT JJ JJ NN IN !skyfall/NN
skylanders	VV !skylanders/NNS VV VV JJ NN IN NN NNS
skype	!skype/NN
skyseeker	VV CD NN IN NN !skyseeker/NN NN
skywalker	VV CD NN IN !skywalker/NN NNS NN NN
skyway	VV CD NN IN JJ JJ NNS VVP NN NN !skyway/NN NN
slab	NN !slab/NN NN NN NNS
slackline	VV NN JJ CD NN !slackline/NN NN NN NN IN NN
slam	VV CD NN IN JJ NNS JJ !slam/NN NN VV
slaughter	CD NN IN !slaughter/NN JJ NN
slayer	VV CD NN IN JJ DT NN !slayer/NN
sleek	VV CD NN IN NN NN CD !sleek/JJ NN NN
sleekstor	VV CD NN IN NN !sleekstor/NN NN VVP NN VVZ VVN
sleep	VV CD NN IN JJ !sleep/NN NN
sleeper	!sleeper/NN NN NNS
sleeping	CD NN IN !sleep/VVG NN
sleepware	!sleepware/NN NN
sleepwear	!sleepwear/NN
sleepwear-	!sleepwear-/NNS VVP PP
sleeve	VV CD NN IN NN NN !sleeve/NN NN NN NN NNS
sleeveless	VV !sleeveless/JJ NN IN RB JJ JJ RB
sleeves	RB JJ IN JJ NNS CC NN IN NN !sleeve/NNS
sleigh	VV CD NN IN NN NN NN !sleigh/NN NN
slice	VV CD NN IN NN JJ NN CD !slice/NN NN
sliced	NNS !slice/VVD NNS
slicer	CD NN NN NN NN NN !slicer/NN
slices	NN NN NN !slice/VVZ IN NNS
slide	!slide/NN NN IN NN
slider	RB VV !slider/JJR IN NN NN
slides	CD NN IN JJ NN NN NNS CC !slide/NNS
slim	VV CD NN IN NP !slim/JJ NN
slim2	VV CD NN IN NNS NN !slim2/NN JJ NN NN
slimline	VV CD NN IN NN NN !slimline/NN NN NN
sling	CD NN IN JJ JJ !sling/NN NN NN NN
slingbox	!slingbox/NN NN IN NN
slip	!slip/NN NNS
slippers	CD NN IN !slipper/NNS
slither	CD NN IN !slither/NN NNS NN NNS
sliver	VV CD NN IN NN !sliver/NN
sloan	!sloan/JJ NNS
sloane	VV CD NN IN VV !sloane/NN
slope	VV CD NN IN NP NN NN NN !slope/NN NN NN NN
sloth	CD NN IN NNS NN !sloth/NN JJ NN NN
slow	JJ !slow/JJ NN
slr	CD NN IN NN NNS VVD JJ !slr/NN
slub-knit	VV !slub-knit/NN NN IN NNS IN NN RB SYM IN CD NN IN JJ NNS
slurpee	VV DT JJ JJ !slurpee/NN
slurpees	VV JJ !slurpees/NNS IN JJ NN
slushies	VV !slushies/NNS VVN NNS IN NN
small	JJ !small/JJ NN
smart	NN NN !smart/JJ NN IN NN
smartcanucks	NN !smartcanucks/NNS VVG JJ NNS
smartcode	CD NN IN NP !smartcode/VVD CD JJ NN NN
smartech	NN !smartech/NN JJ JJ NN NN JJ NN NN
smarter	NN NN NN !smart/RBR NN JJ
smarties	!smart/NNS
smartkey	CD NN IN NN NN CD JJ NN !smartkey/NN
smartphone	VV CD NN IN NN NN NN VVD !smartphone/NN
smartphones	VV CD NN VV IN NN VVD !smartphones/NNS
smartpot	CD NN IN NN CD NN NN !smartpot/NN
smarts	VV CD NN IN NN !smart/NNS
smartsource	!smartsource/NN
smartwatch	CD NN IN JJ JJ NNS !smartwatch/NN
smartwheels	!smartwheels/NNS VVP NN
smartypants	!smartypants/NNS
smart­canucks	!smart­canucks/NNS NN NNS
smart­source	NNS !smart­source/NN NNS
smash	CD NN IN JJ NNS VVP CC DT NN NNS !smash/NN NN NN NN VVD
smeg	NN NN JJ NN IN DT NNS SYM NN IN !smeg/NN NN
smile	VV DT JJ !smile/NN NN IN JJ NN
smiles	NN NN NN VVZ IN !smile/NNS
smith	!smith/NN NN NN VVZ IN NN
smoke	CD NN IN NN VV !smoke/NN
smoker	VV CD NN IN NP NN JJ CD NN !smoker/NN
smoking	VV CD NN IN NN DT !smoking/NN NN
smooshins	JJ NN IN DT NNS SYM !smooshins/VVZ NN NN NN IN NN
smooth	VV CD NN IN NP NP !smooth/JJ CC JJ JJ JJ NN CC NN NN
smoothie	JJ !smoothie/NN DT NN IN NN
smoothies	!smoothie/NNS
smores	NP NN CC VV JJ !smores/NNS NN IN JJ NN
smurfs	!Smurf/NNS
snack	VV !snack/NN NN
snackin	VV CD NN IN NN JJ JJ !snackin/NN NN
snacking	NNS NNS !snack/VVG NN
snacknado	VV CD !snacknado/NN NN NN VVP JJ IN CD NN RP
snacks	JJ JJ !snack/NNS CC NNS NN NN
snake	VV CD NN IN NN VVP !snake/NN NN NN NN NN
snap	VV NN NN !snap/NN NN NN IN NN IN RB JJ IN JJ NN
snapfish	!snapfish/NNS
snapseal	NN !snapseal/NN NN JJ JJ NN NN IN NN
snapset	CD NN IN NN NN NN !snapset/NN NN NN
snare	!snare/VV
snatched	CD NN IN !snatch/VVN NN
sneak	JJ JJ NN !sneak/NN NN NNS
sneaker	NNS NN NN !sneaker/NN NN
sneakers	!sneakers/NN
sneaks	NN !sneak/NNS VBP RB
snifflin	VV CD NN IN NP !snifflin/NN NN
snoozypod	CD NN IN NN NNS !snoozypod/NN VVG NN NN
snow	NN CC NN !snow/NN NNS
snowblower	CD NN IN CD CD NN NN JJ NN !snowblower/NN
snowblowers	!snowblowers/NNS SYM JJ NN NNS NNS
snowboarding	NN NN !snowboard/NN VVZ IN NN
snowman	VV JJ NN !snowman/NN NN IN NP SYM JJ NN SYM DT NNS
snowmen	JJ JJ JJ !snowman/NNS NN VVN IN JJ NN
snowmobile	CD NN IN NN NN NNS NN !snowmobile/NN
snowsuits	VV CD NN IN !snowsuits/NNS
snug	NNS !snug/JJ
snugabunny	VV CD NN IN NN PP$ JJ !snugabunny/NN JJ NN
so	CD NN IN !so/RB
soak	NN NNS !soak/VV RP NN NN
soap	NN DT NN NN !soap/NN NN IN NN
soaps	NN !soap/NNS
sobeys	!Sobey/NNS VVD JJ NNS
soccer	VV CD NN IN NN VV TO JJ JJ NNS !soccer/NN
